image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.911808,bus,van,False
drive_022,2,5,0.641933,truck,bus,False
drive_022,3,1,0.646501,car,car,True
drive_022,4,3,0.78062,car,car,True
drive_022,5,4,0.579234,van,car,False
drive_033,1,2,0.645582,truck,bus,False
drive_033,2,3,0.597787,car,car,True
drive_033,3,7,0.59949,car,car,True
drive_033,4,9,0.739314,car,car,True
drive_033,10,5,0.55999,car,car,True
drive_033,12,8,0.827912,car,car,True
drive_033,13,11,0.847759,car,car,True
drive_033,14,6,0.613695,car,car,True
drive_033,17,10,0.791262,car,car,True
drive_033,18,12,0.624075,bus,van,False
drive_033,19,4,0.396667,car,car,True
drive_033,20,1,0.869898,bus,van,False
drive_038,1,2,0.873171,car,car,True
drive_038,2,3,0.818148,car,car,True
drive_038,3,8,0.828886,car,car,True
drive_038,4,7,0.71432,car,car,True
drive_038,5,6,0.670909,car,car,True
drive_038,8,14,0.729884,car,car,True
drive_038,9,13,0.586306,car,car,True
drive_038,10,16,0.516535,car,car,True
drive_038,11,17,0.781742,car,car,True
drive_038,14,5,0.75158,truck,bus,False
drive_038,15,9,0.875818,truck,bus,False
drive_038,16,15,0.705365,van,truck,False
drive_038,18,1,0.845473,car,car,True
drive_038,19,4,0.771271,car,car,True
drive_008,1,16,0.853307,car,car,True
drive_008,2,11,0.861803,car,car,True
drive_008,3,6,0.752623,car,car,True
drive_008,4,4,0.900402,car,car,True
drive_008,5,12,0.755515,van,truck,False
drive_008,6,3,0.870122,van,truck,False
drive_008,7,9,0.906824,bus,van,False
drive_008,8,2,0.088046,bus,car,False
drive_008,9,1,0.775639,truck,bus,False
drive_008,10,5,0.623708,van,truck,False
drive_008,14,13,0.614437,car,car,True
